pk	pn	lat	lon	link
C1172	Naxos: Aplomata	37.10877	25.379363	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1172
C1173	Naxos: Kamini	37.110983	25.386217	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1173
C1174	Naxos: Rizokastella	37.050637	25.393535	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1174
C1175	Vigla	37.024911	25.36592	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1175
C1176	Seriphos	37.156178	24.479241	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1176
C1177	Siphnos: Ayios Andreas	36.954158	24.721588	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1177
C1178	Siphnos: Kastro	36.974655	24.745541	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1178
C1179	Siphnos: To Froudhi tou Kalamitsiou	36.94604	24.692358	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1179
C118	Siamou: Palaiochori	37.237862	22.031601	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C118
C1180	Amorgos: Aigiale: Vigli	36.919572	25.980372	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1180
C1181	Amorgos: Xilokeratidi	36.831604	25.864262	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1181
C1182	Amorgos: Arkesine	36.806693	25.817751	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1182
C1183	Ios: Chora	36.731776	25.28265	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1183
C1184	Ellinika	36.789039	24.53111	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1184
C1185	Paros: Koukounaries	37.12768	25.209303	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1185
C1186	Antiparos: Agriokastro (Northwest Promontory)	37.047326	25.074279	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1186
C1187	Melos: Phylakopi	36.755091	24.509247	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1187
C1188	Melos: Kapari	36.751046	24.517234	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1188
C1189	Melos: Ayios Ilias	36.738753	24.419767	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1189
C119	Kalyvia: Pano Chorio	37.245677	22.029652	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C119
C1190	Melos: Sotira	36.70075	24.506646	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1190
C1191	Melos: Emborio	36.709616	24.391208	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1191
C1192	Melos: Trypites	36.705981	24.504987	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1192
C1193	Ayios Spiridon	36.709463	24.386573	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1193
C1194	Thera: Akrotiri	36.35159	25.403377	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1194
C1195	Mayeira: Tumulus	37.666758	21.633309	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1195
